apply_time_rl,climate_pressure,climate_temperature,cmc_0_0_0_2_grad,cmc_0_0_0_2_interpolated,cmc_0_0_0_2_next,cmc_0_0_6_2,cmc_0_0_7_2,cmc_0_6_1_0,cmc_available,cmc_horizon_h,cmc_precipitations,cmc_timedelta_s,fact_latitude,fact_longitude,fact_station_id,fact_temperature,fact_time,gfs_2m_dewpoint,gfs_a_vorticity,gfs_available,gfs_cloudness,gfs_clouds_sea,gfs_horizon_h,gfs_humidity,gfs_precipitable_water,gfs_precipitations,gfs_pressure,gfs_r_velocity,gfs_soil_temperature,gfs_soil_temperature_available,gfs_total_clouds_cover_low,gfs_u_wind,gfs_v_wind,gfs_wind_speed,sun_elevation,weather_datetime,circuit_name,race_datetime
1664622722,756.5888,27.932858,-0.09298706,297.32925,297.26727,296.69797,0.5,100.0,1,12.0,0.011542003,3600.0,1.41695,103.868,35706,26.0,1664629200,23.249994,4.8457274e-05,1,2.303,0.0,12.0,91.4,62.516636,0.625,754.16675,0.022868164,28.649988,1,67.9,-0.81624514,3.181228,3.2842758,-28.874651,2022-10-01 11:12:02,Singapore Grand Prix,2022-10-02 12:00:00
1664627404,756.5888,27.932858,-0.025115967,298.06726,298.04214,296.66022,1.25,64.0,1,15.0,0.0,0.0,1.36042,103.91,35704,26.0,1664636400,23.149988,2.7526366e-05,1,2.147,0.0,15.0,79.5,60.583332,0.7083333,757.6852,0.007802246,-9999.0,0,25.3,3.4341528,0.33016357,3.4499874,-58.729794,2022-10-01 12:30:04,Singapore Grand Prix,2022-10-02 12:00:00
1664639104,756.5888,27.932858,-0.025115967,298.0505,298.04214,296.66022,1.25,64.0,1,15.0,0.0,7200.0,1.35019,103.994,35707,26.0,1664643600,22.950006,5.0587645e-05,1,1.683,0.0,9.0,75.6,60.982563,0.5416667,757.6034,-0.03169824,-9999.0,0,26.3,3.7606347,0.24494141,3.768603,-86.00567,2022-10-01 15:45:04,Singapore Grand Prix,2022-10-02 12:00:00
1664639104,757.6101,27.140715,-0.40008545,298.04214,297.64206,296.74976,1.125,80.0,1,18.0,-8.265178e-06,0.0,1.36042,103.91,35704,26.0,1664647200,23.049982,9.843323e-05,1,2.095,0.0,12.0,83.4,61.394257,0.7708333,756.49695,0.031120606,-9999.0,0,52.2,4.5536013,-0.3236377,4.565088,-75.5902,2022-10-01 15:45:04,Singapore Grand Prix,2022-10-02 12:00:00
1664641981,757.6101,27.140715,-0.40008545,298.04214,297.64206,296.74976,1.125,80.0,1,18.0,-8.265178e-06,0.0,1.366667,103.98333,46870,26.0,1664647200,23.049982,9.843323e-05,1,2.095,0.0,12.0,83.4,61.394257,0.7708333,756.49695,0.031120606,-9999.0,0,52.2,4.5536013,-0.3236377,4.565088,-75.52136,2022-10-01 16:33:01,Singapore Grand Prix,2022-10-02 12:00:00
1664640722,757.6101,27.140715,-0.40008545,297.77542,297.64206,296.74976,1.125,80.0,1,18.0,-8.265178e-06,7200.0,1.35019,103.994,35707,25.0,1664654400,23.049982,9.843323e-05,1,2.095,0.0,12.0,83.4,61.394257,0.7708333,756.49695,0.031120606,-9999.0,0,52.2,4.5536013,-0.3236377,4.565088,-45.920605,2022-10-01 16:12:02,Singapore Grand Prix,2022-10-02 12:00:00
1664654405,757.6101,27.140715,0.71313477,298.01678,298.2545,296.25626,1.125,88.0,1,9.0,0.0,7200.0,1.36042,103.91,35704,25.0,1664665200,22.754877,8.621216e-05,1,2.8240001,0.0,9.0,81.3,62.34399,2.9375,755.46796,-0.043824706,-9999.0,0,82.4,-0.24950439,-2.3113477,2.3247755,-1.208871,2022-10-01 20:00:05,Singapore Grand Prix,2022-10-02 12:00:00
1664656021,757.6101,27.140715,0.71313477,298.01678,298.2545,296.25626,1.125,88.0,1,9.0,0.0,7200.0,1.36042,103.91,35704,25.0,1664665200,22.754877,8.621216e-05,1,2.8240001,0.0,9.0,81.3,62.34399,2.9375,755.46796,-0.043824706,-9999.0,0,82.4,-0.24950439,-2.3113477,2.3247755,-1.208871,2022-10-01 20:27:01,Singapore Grand Prix,2022-10-02 12:00:00
1664653504,757.6101,27.140715,0.71313477,298.01678,298.2545,296.25626,1.125,88.0,1,9.0,0.0,7200.0,1.35019,103.994,35707,25.0,1664667000,22.754877,8.621216e-05,1,2.8240001,0.0,9.0,81.3,62.34399,2.9375,755.46796,-0.043824706,-9999.0,0,82.4,-0.24950439,-2.3113477,2.3247755,-1.1243144,2022-10-01 19:45:04,Singapore Grand Prix,2022-10-02 12:00:00
1664646017,757.7735,26.749287,1.5580139,298.58002,299.09937,296.25626,1.125,88.0,1,9.0,0.0,14400.0,1.36042,103.91,35704,25.0,1664672400,23.568293,-4.0045656e-05,1,2.901,0.0,12.0,91.9,64.77586,3.0208333,756.70435,0.026245361,-9999.0,0,90.1,-5.409602,-3.9089112,6.6740828,28.598953,2022-10-01 17:40:17,Singapore Grand Prix,2022-10-02 12:00:00
